Varchar(150),Varchar(150),Varchar(150),INT,Varchar(6),Varchar(50),Varchar(35),nvarchar(50),nvarchar(50),nvarchar(50),nvarchar(50),Varchar(50),,,Bit,"numeric(18,2)","numeric(18,2)",int,"numeric(18,2)",,Varchar(15)
ALLIED AGENCIES AGRA,6/107 SHIV PARSAD MARKET  BELAN GAN,,AGRA,282004, , ,,,,,1000068,MG07,Distributor,,2500000,-8070558,,,,
ARIHANT ELECTRICLAS,BRANCH ADRESS:GAT NO 97/1 K SHOP NO,,PALDHI,425001,aejalgaon@gmail.com,9175911956,,,,,1000069,MG08,Distributor,,2000000,163784,,,,
AROMA PUMP & PIPE,UG-10 KAMLA PALACE  BABA SIDHESHWAR,,GURGAON,122001, , ,,,,,1000070,MG08,Distributor,,2000000,-13214,,,,
ADITYA BIRLA CHEMICALS (INDIA) LTD,RENUKOOT CHEMICAL DIVISION  PO RENU,,SONEBHADRA,231217, , ,,,,,1000071,MG04,Distributor,,1,0,,,,
ABHI VAIRAVAN ENGINEERING AND CONSU,NO.59/1 THIRD FLOOR ARCOT ROAD  KOD,,CHENNAI,600024,abhivairavan@yahoo.com, ,,,,,1000072,MG09,Distributor,,3500000,-1203011,,,,
AQUA DESIGNS INDIA PRIVATE LTD,H.NO.412/42 RASULIYA GRAMIN HOSHANG,,HOSHANGABAD,461001, , ,,,,,1000073,MG04,Distributor,,1,0,,,,
APANA HARDWARE SUPPLIERS PRIVATE,9 1ST FLOOR MANSI COMPLEX  PREMCHAN,,AHMEDABAD,380054,apanasanjay@gmail.com,9428826370,,,,,1000074,MG08,Distributor,,1,-13353361.86,,,,
AMBICA SANITATION,AT-BAGHADA ROAD  P.O.-BARIPADA WARD,,BARIPADA,757001,ambicasanitation3@gmail.com, ,,,,,1000075,MG08,Distributor,,1,1804,,,,
ARJITT IMPEX,34 PRINCE ROAD  LAKSHMI COMPOUND  M,,MORADABAD,244001,arjitmbd@gmail.com, ,,,,,1000076,MG07,Distributor,,1,-459363,,,,
AQUATECH ENGINEERS,E-5/12 BASEMENT  MALVIYA NAGAR,,NEW DELHI,110017,aquatechengs@gmail.com, ,,,,,1000077,MG08,Distributor,,1,89707,,,,
ASSOCIATED ENGINEERING COMPANY,55 VIP NAGAR THIRUKACHUR VILLAGE  C,,CHENNAI,603001,asseng@vsnl.com, ,,,,,1000078,MG10,Distributor,,1,-39065,,,,
A.R.AGRITECH,PADINJAREKKARA P.O.  VAIKOM,,KOTTAYAM,686146,aragritechvkm@gmail.com, ,,,,,1000079,MG06,Distributor,,1,-335895,,,,
ARIHANT CERAMICS,SAINATHA ROAD  ARSIKERE  DIST.HASSA,,HASSAN,573103,lalitmehta.ask@gmail.com, ,,,,,1000080,MG03,Distributor,,1,29198,,,,
BHATNAGAR ENGINEER,171A/1  BHUPAL - PURA,,UDAIPUR,313001,bhatnagarengineers@yahoo.com,94141613539,,,,,1000081,MG04,Distributor,,1,-239274,,,,
BATH POINT,BALSAMAND ROAD  NR.TAYAL FACTORY GA,,HISAR,125001, , ,,,,,1000082,MG07,Distributor,,1,0,,,,
B.M. SANITATIONS (P) LTD.,B-2  THIRUVALLUVAR APARTMENTS NO. 2,,CHENNAI,600033, , ,,,,,1000083,MG09,Distributor,,1,0,,,,
BISHT TRADING COMPANY,BISHT MARKET OPP. KAY PRIDE MALL  T,,KOTDWAR,246149, , ,,,,,1000085,MG07,Distributor,,1500000,202350,,,,
GOPICHAND ENTERPRISES,BK.NO.2110 SHOP NO.1  NEAR LALCHAKI,,ULHASNAGAR,421005,gopichandbms@gmail.com,9850015599,,,,,1000208,MG10,Distributor,,2000000,-1263943.75,,,,
GARG TRADING COMPANY,SHOP NO-17  SAI NATH COMPLEX  OPP.,,AGRA,282004,ashirvadpipe@yahoo.com,9412262812,,,,,1000210,MG08,Distributor,,1,17746,,,,
HINDUSTAN SANITARY & HARDWARE,S.C.O. No. 20   SECTOR 18-D ,,CHANDIGARH,160018,hindustanchd@rediffmail.com,99881944999,,,,,1000224,MG07,Distributor,,1500000,-787204.02,,,,
HEERA HARDWARE,OPP. COSMOPOLITAN CLUB  STATION ROA,,HOSPET,583201,heera_mbhurat@yahoo.com,9844086000,,,,,1000225,MG03,Distributor,,1000000,-8642.03,,,,
LARSEN & TOUBRO LTD. CONSTRUCTION D,HYDERABAD METRO RAIL PROJECT OPPOSI,,HYDERABAD,500049, , ,,,,,1000341,MG09,Distributor,,1,-2344528,,,,
UNIVERSAL SANITARY HOUSE,P O BOX NO:3674 ,,ERNAKULAM,682035,universalsanitatry@yahoo.com,99953400349,,,,,1001035,MG06,Distributor,,1,-20917,,,,
VIJAY PIPE CORPORATION,251  252,,KOTA,324007,nishantvjy@gmail.com,9413354620,,,,,1001036,MG08,Distributor,,1,0,,,,
AGGARWAL SALES CORPORATION,B1A   KALYAN KUNJ ,,GAUTAMBUDDHNAGAR,324007,asc.sintex@gmail.com, ,,,,,1001037,MG08,Distributor,,1,303792,,,,
APANA HARDWARE SUPPLIERS,9  1ST FLOOR MANSI COMPLEX ,,AHMEDABAD,380015,apanaramesh@gmail.com,9426016712,,,,,1001038,MG08,Distributor,,1,1010,,,,
LANSUM PROPERTIES LLP,LANSUM GREENS 39-21-40 MURLI NAGAR ,,VISAKHAPATNAM,380015, ,9346038218,,,,,1001041,MG01,Distributor,,1,56128,,,,
LANCO ANPARA POWER LIMITED,DIST. SONEBHADRA,,SONEBHADRA,231225,asanengineers@gmail.com, ,,,,,1001099,MG04,Distributor,,1,0,,,,
AALIDHRA TEXTOOL ENGINEERS, ,,DADRA & NAGAR HAVELI,396193,purchase@aalidhra.com,9825300312,,,,,1001100,MG08,Distributor,,1,0,,,,
CHAUDHARI ELECTRICALS, ,,DHANERA,385310, ,9429715892,,,,,1001101,MG08,Distributor,,1,35289,,,,
GUJARAT AMBUJA EXPORTS LTD,INDUSTRIAL PARK SITARGANJ ,,UDHAM SINGH NAGAR,263153, , ,,,,,1001102,MG04,Distributor,,1,0,,,,
OLYMPIA TECHNOLOGY PARK, ,,CHENNAI,600032,sampath.kumar@ge.com, ,,,,,1001103,MG04,Distributor,,1,0,,,,
SATKRUTI EDUCATION MANAGEMENT, ,,BANGALORE,560076,shruthic@sattvagroup.in,9845484407,,,,,1001104,MG03,Distributor,,1,0,,,,
SAI GEETHA ENTERPRISES,MAIN ROAD ,,WARANGAL,506169, , ,,,,,1001107,MG08,Distributor,,1,-95,,,,
PHIROZE KARAKA & CO.,SITE : RUBY HALL CLINIC  MIDC PHASE,,PUNE,411001,karakaco@vsnl.net,92232782279,,,,,1001109,MG10,Distributor,,1,0,,,,
THE TINPLATE COMPANY OF INDIA LIMIT,GOLMURI,,JAMSHEDPUR,831003,rsgatjsr@gmail.com, ,,,,,1001111,MG04,Distributor,,1,0,,,,
GARG & CO.,300  JHOKAN BAGH ,,JHANSI,284001, ,9794094000,,,,,1000190,MG07,Distributor,,1500000,0,,,,
GRUNDFOS PUMPS INDIA PRIVATE LIMITE,MANUFACTURING UNIT (GIN1)  118  RAJ,,CHENNAI,600097, , ,,,,,1000191,MG04,Distributor,,1,0,,,,
G.R.TECH SERVICES PVT.LTD.,3/3 RAMPHEL GARDENS  SUBHALAKSHMI N,,COIMBATORE,641008, , ,,,,,1000192,MG06,Distributor,,1,-3668667,,,,
GUPTA AGENCIES,J-12/13 DHOOPCHANDI  JAGATGANJ ,,VARANASI,221001, ,9336911735,,,,,1000193,MG07,Distributor,,1,0,,,,
KANAYALAL & BROS.,RADHA JUNJ  CHOWRAHA,,AURANGABAD,431001,kbros1967@gmail.com,9923732604,,,,,1000194,MG02,Distributor,,1000000,0,,,,
GILLANDERS ARBUTHNOT & CO.LTD.,CHATEAU D'AMPA BUILDING 6TH FLOOR N,,CHENNAI,600029,gupta.rajiv@gillandersarbuthnot.com, ,,,,,1000195,MG09,Distributor,,1500000,-595138,,,,
KANAYALAL & BROS.,PLOT NO : X - 81  MORE CHOWK,,WALUJ,431001,kbros1967@gmail.com,99237326049,,,,,1000196,MG02,Distributor,,1000000,0,,,,
GANESH ELECTRICALS,SHOP:-85B VASAVIMARKET  DIST: PRAKA,,CHIRALA,523155, , ,,,,,1000197,MG01,Distributor,,1000000,-214095.43,,,,
GE INDIA INDUSTRIAL PRIVATE LTD,DIV : WATER & PROCESS TECHNOLOGIES ,,BANGALORE,560066, , ,,,,,1000198,MG04,Distributor,,1,-824902,,,,
GREENAGE GRIHANIRMAN PVT LTD,SALARPURIA WINDSOR NO. 3  ULSOOR RO,,BANGALORE,560042, ,9620215310,,,,,1000199,MG03,Distributor,,1,-1177127.09,,,,
GUJARAT AMBUJA EXPORTS LTD,S.NO.153&154  MALDI CROS  P.B.ROAD ,,HAVERI,581301, , ,,,,,1000200,MG04,Distributor,,1,-20651,,,,
GUJARAT STATE FERTILIZERS & CHEMICA,P.O FERTILIZERNAGAR,,VADODARA,391750, , ,,,,,1000201,MG04,Distributor,,1,0,,,,
GRASIM INDUSTRIES LIMITED.,HARIHAR POLYMERS  KUMARAPATNAM  NR.,,HAVERI,581123, , ,,,,,1000202,MG04,Distributor,,1,0,,,,
GANESH TUBE AGENCY,5-1-519/2 HILL STREET  RANIGUNJ,,SECUNDERABAD,500003,gtagency_1997@yahoo.co.in, ,,,,,1000203,MG01,Distributor,,8600000,34,,,,
GAYATRI TILE AND MARVEL,BAWALI CHOWK RAMKOLA ROAD  PADRAUNA,,KUSHINAGAR,274304, , ,,,,,1000204,MG07,Distributor,,1500000,10656,,,,
GREEN WOOD HIGH TRUST,# NO. 8-14 CHICKKAWADAYARAPURA  NEA,,BANGALORE,560087, , ,,,,,1000205,MG03,Distributor,,1,-520464,,,,
GOLDY ENTERPRISE,NR. SYNDICATE BANK DESHBANDHU SCHOO,,RAIPUR,492009,goldy_2u17@yahoo.com,9424200101,,,,,1000206,MG08,Distributor,,2000000,-3850,,,,
GANDHI MACHINERY & SPARES,MAHAVIR CHOWK ,,NARNAUL,123001, ,9416701282,,,,,1000207,MG07,Distributor,,1500000,-10697,,,,
GUJARAT AMBUJA EXPORTS LTD.,AMBUJA TOWER  OPP: MEMNAGAR FIRE ST,,AHMEDABAD,380014, , ,,,,,1000209,MG04,Distributor,,1,0,,,,
GE INDIA INDUSTRIAL PVT LTD,C/O SHANKAR INDIA  AMBIKA ESTATE  N,,AHMEDABAD,382210, , ,,,,,1000211,MG04,Distributor,,1,-2624180.96,,,,
SELVA VINAYAKAR PIPE TRADERS,115 T.P.K. ROAD ,,MADURAI,625001,selvavinayakarpipes@gmail.com,9994974924,,,,,1000000,MG09,Distributor,,1,-747,,,,
BHARAT ENTERPRISES,12-3-15 PEENA MOHAMMAD STREET  TARA,,VIJAYAWADA,520001,bharatenterprises_vja@yahoo.co.in, ,,,,,1000001,MG01,Distributor,,1,0,,,,
AQUATECH SYSTEMS (ASIA) PVT. LTD.,SURVEY NO. 244/2  RAJIV GANDHI INFO,,PUNE,411057, , ,,,,,1000002,MG04,Distributor,,1,-79379.25,,,,
AGRAWAL SANITATIONS,41  ANJUMAN SHOPPING CENTRE ,,JABALPUR,482002,abhi.agrawalsanitation@gmail.com,9993606060,,,,,1000003,MG08,Distributor,,3600000,-3183930.15,,,,
AQUALINKS - CHENNAI,16  SHENOY ROAD  NUGAMBAKAM,,CHENNAI,600034, , ,,,,,1000004,MG09,Distributor,,1,-106090,,,,
A.C.GOLCHHA & SONS,215  MAROHTAL ,,JABALPUR,482001,golchhasons@gmail.com, ,,,,,1000005,MG08,Distributor,,3100000,-258238,,,,
ALS PIPE ENTERPRISES,NO.165 LINGHI CHETTY STREET  MANNAD,,CHENNAI,600001,alspipes@yahoo.com,7373757903,,,,,1000006,MG09,Distributor,,15000000,-17649577.61,,,,
AL.S.T & CO.,102(OLD 193) RANGAKONAR STREET  KAT,,COIMBATORE,641009,cbe.alst@gmail.com, ,,,,,1000007,MG09,Distributor,,3500000,-18041.48,,,,
ALS TRADE CENTRE,86 SATHY ROAD,,ERODE,638003,alstcerode@gmail.com,9942912408,,,,,1000008,MG09,Distributor,,1500000,-1045800,,,,
LAXMI SANITARYWARE,NEAR BUS STAND   ISLAMPUR  TAL : WA,,ISLAMPUR,415409,laxmi.sanitary@yahoo.in,8007005007,,,,,1000009,MG02,Distributor,,1,0,,,,
ALS MARKETING COMPANY,70  MADURAI ROAD ,,TIRUCHIRAPPALLI,620008,alspipestrichy@gmail.com,9443712374,,,,,1000010,MG09,Distributor,,1600000,15000,,,,
ASST.MANAGER-PURCHASE & STORES - BA,TATA CHEMICALS LIMITED  DIST. BADAU,,BABRALA,242021, , ,,,,,1000011,MG04,Distributor,,1,0,,,,
AGRO POWER CORPORATION,NO. 39/1  1ST CROSS  LALBAGH ROAD S,,BANGALORE,560027, , ,,,,,1000012,MG03,Distributor,,1,-151366,,,,
ABHINANDAN ELECTRIC & CERAMIC,SETH BHAGWANDAS MARKET  BUS STAND R,,KANKAROLI,313324,abhinandanelectric@gmail.com,94142848509,,,,,1000013,MG08,Distributor,,2000000,-939454,,,,
ANDANUR CERAMICS,# 721 / 2    MANDIPET ,,DEVANGERE,577001,andanurceramics@gmail.com,9880099550,,,,,1000014,MG03,Distributor,,2000000,-596883,,,,
AKOLA PIPE FITTING & HARDWARE,ALANKAR MARKET  TILAK ROAD ,,AKOLA,444001,rocky_motwani19@yahoo.com,9422161257,,,,,1000015,MG10,Distributor,,2000000,-38620,,,,
MIRAJ CERAMICA,894 CASA SAWANTA  SANGALI ROAD ,,MIRAJ,416410,mirajceramica@yahoo.in, ,,,,,1000016,MG02,Distributor,,1000000,-5601.13,,,,
AL.S.T. & CO.,10 C.C. ROAD  NEAR MALAI MURASU ,,SALEM,636001,salem.alst@gmail.com,9842716861,,,,,1000017,MG09,Distributor,,1000000,-65865.76,,,,
AL.S.T. & CO.,6 MADURAI ROAD ,,THENI,625531,theni.alst@gmail.com,9842116861,,,,,1000018,MG09,Distributor,,2000000,30012.46,,,,
KALYAN SANITARY,NEAR TEMPO STAND  BODHGAYA MAIN ROA,,BODHGAYA,824231,sanitary.kalyan@gmail.com, ,,,,,1000297,MG08,Distributor,,1500000,-1333625.77,,,,
DAMODAR V.S. KARWARKER & SONS,DATTA-GERI  VARDE VALAULIKER ROAD M,,GOA,403601, , ,,,,,1000298,MG02,Distributor,,1000000,-97226.03,,,,
KIRLOSKAR BROTHERS LTD.,YAMUNA  SURVEY NO.98 (3-7)  BANER,,PUNE,411045, , ,,,,,1000299,MG04,Distributor,,1,-35940,,,,
KLAS PRODUCTS PVT. LTD.,GI-18 G.T.KARNAL ROAD INDUSTRIAL AR,,DELHI,110033, , ,,,,,1000300,MG07,Distributor,,1500000,-61621,,,,
KRISHNA SALES,9513 GIDC - 1 ,,MEHSANA,384002, ,9825167506,,,,,1000301,MG08,Distributor,,2000000,938,,,,
KILCO MACHINES,Q.S ROAD  NEAR UPASANA HOSPITAL ,,KOLLAM,691001,kilcomachines@yahoo.co.in, ,,,,,1000302,MG06,Distributor,,1000000,-611445,,,,
KAILASH SANITARYWARE,KUSHAGRA COMPLEX  HOTEL HARSA ROAD ,,PURNIA,854301, , ,,,,,1000303,MG08,Distributor,,2000000,0,,,,
KARNATAKA PIPE CENTRE,SHOP NO 2 K.K.COMPLEX  NEW COTTON M,,HUBLI,580029,kpchubli@gmail.com,9844118546,,,,,1000304,MG03,Distributor,,2000000,-697414.1,,,,
KHURANA AGENCIES,SADBHAWANA.64/55 VIVEKANAND MARG ,,ALLAHABAD,211003,khuranaagencies@gmail.com,9839077001,,,,,1000305,MG08,Distributor,,1,31242,,,,
KIRLOSKAR INTEGRATED TECHNOLOGIES L,NEAR NASA AGRO PRODUCT INDUSTR VILL,,PANCHANWAL,144001, , ,,,,,1000306,MG04,Distributor,,1,4684,,,,
KANIYADUKKAM TRADERS,KANIYADUKKAM HOUSE INDIRA NAGAR  P.,,KASARAGOD,671541, , ,,,,,1000307,MG06,Distributor,,1,4184,,,,
KAMADHENU ENTERPRISES,NEAR HEAD POST OFFICE  DIST:BELGAUM,,ATHANI,591304, , ,,,,,1000308,MG03,Distributor,,1,5404,,,,
KHATRI TRADERS,42 AMRIT NAGAR  OPP. PREKSHA HOSPIT,,JODHPUR,342008,saurabhkhatri102@gmail.com, ,,,,,1000309,MG08,Distributor,,1,44324,,,,
KAMAL TRADERS,GANDHI NAGAR-1  SRIKAKULAM DIST,,SOMPETA,532284,tirumala.malla@live.com, ,,,,,1000310,MG01,Distributor,,1,24177.25,,,,
KARTHIKEYA ENTERPRISES,D.NO.:23-6-162  PATNAM BAZAR ,,GUNTUR,522003,karthikeyaenterprises8626@gmail.com, ,,,,,1000311,MG01,Distributor,,1,-129970.81,,,,
KESHAV ENTERPRISE,4TH FLOOR 'RUGVED' OPP. CIVIL HOSPI,,HIMATNAGAR,383001,dhaval.sodani@gmail.com, ,,,,,1000312,MG08,Distributor,,1,8404,,,,
KRISHNA HARDWARE & ELECTRICALS,A/P-MULANA TAL-UMARKHED  DIST-YAWAT,,MULANA,445211,khmulawa@rediffmail.com, ,,,,,1000313,MG08,Distributor,,1,-2010,,,,
LARSEN & TOUBRO LTD.,"ECC DIVISION LAND MARK BUILDING-""A""",,MUMBAI,400072, , ,,,,,1000315,MG10,Distributor,,1,0,,,,
LARSEN & TOUBRO LIMITED.,ECC DIV 6-3-1109/1 2 ND FLOOR  NAVA,,HYDERABAD,500082, , ,,,,,1000316,MG01,Distributor,,1,-174576,,,,
LARSEN & TOUBRO LIMITED,ECC DIVISION   L & T CHENNAI HOUSE ,,CHENNAI,600002, , ,,,,,1000317,MG09,Distributor,,1,0,,,,
KAMAL ENTERPRISES,VIDYA NAGAR 4TH CROSS EAST  NEAR MA,,BELLARY,583104,jainhardware1008@gmail.com, ,,,,,1000314,MG03,Distributor,,1,152.92,,,,
L & T LIMITED - ECC DIVISION,VILLAGE:JAGATPUR BEYOND RAILWAY CRO,,AHMEDABAD,380054, , ,,,,,1000323,MG08,Distributor,,1,-247459,,,,
LARSEN & TOUBRO LTD..-ECC DIVISION,ESIC MEDICAL COLLEGE AND HOSPITAL P,,KOLLAM,691574, ,9445006294,,,,,1000325,MG06,Distributor,,1,-4331504,,,,
LARSEN & TOUBRO LTD,187F/1 GODREJ PRAKRITI PROJECT  SOD,,KOLKATA,700110, , ,,,,,1000328,MG08,Distributor,,1,0,,,,
LIBERTY AGENCIES,MARKET ROAD ,,PALAKKAD,678014,siyaj123@gmail.com,9495995573,,,,,1000329,MG06,Distributor,,2000000,-1197830,,,,
LARSEN & TOUBRO LTD,CTS SEZ CAMPUS  SIPCOT IT PARK SIRU,,CHENNAI,600045, , ,,,,,1000330,MG09,Distributor,,1,0,,,,
LARSEN & TOUBRO LIMITED,C/O AIIMS HOSPITAL COMPLEX  NEAR CA,,JODHPUR,342005, , ,,,,,1000331,MG08,Distributor,,1,-66492,,,,
LARSEN & TOUBRO LTD.-ECC DIVISION,MOUNT-POONAMALLEE ROAD  PB NO. 979 ,,CHENNAI,600089, , ,,,,,1000332,MG09,Distributor,,1,-512325,,,,
LARSEN & TOUBRO LTD ECCD (CONTRACTO,FOR COGNIZANT TECHNOLOGY SOLUTIONS,,PUNE,411057, , ,,,,,1000333,MG09,Distributor,,1,0,,,,
LARSEN & TOUBRO LIMITED ECC DIVISIO,AIIMS HOSPITAL PROJECT  PS:KHANDAGI,,BHUBANESWAR,751019, , ,,,,,1000334,MG08,Distributor,,1,-897429,,,,
LAKSHMI SAI ENTERPRISES,#3/878 GODOWN NO:-3  SETTY GUNTA RO,,NELLORE,524002,srilakshmisaienterprises55@gmail.com, ,,,,,1000335,MG01,Distributor,,3500000,-52310,,,,
LARSEN & TOUBRO LTD -ECC DIVISION,CESC SHOPPING MALL PROJECT 33  SYED,,KOLKATA,700017, , ,,,,,1000336,MG08,Distributor,,1,-378172,,,,
LARSEN & TOUBRO LIMITED ECC DIVISIO,HCL TECHNOLOGIES LTD.  ELCOT S.NO 6,,CHENNAI,600119, , ,,,,,1000337,MG09,Distributor,,1,0,,,,
LAXMI PIPE & MACHINERY,3 BHAGCHAND COMPLEX  INDRAKUND PANC,,NASIK,422003, ,9420000949,,,,,1000338,MG08,Distributor,,2000000,-12327,,,,
LINC DIGITAL SYSTEMS PVT LTD (RO DI,101 J.B.HOUSE  ISHWAR BHUVAN ROAD N,,AHMEDABAD,380009, , ,,,,,1000339,MG08,Distributor,,1,0,,,,
LARSEN & TOUBRO LTD..ECCD,IREO VICTORY VALLEY SITE KADARPUR R,,GURGAON,122001, , ,,,,,1000340,MG07,Distributor,,1,0,,,,
LARSEN & TOUBRO LIMITED .,INFOPARK PHASE-|| SEZ BRAHMAPURAM. ,,KOCHI,682303, , ,,,,,1000342,MG09,Distributor,,1,0,,,,
LARSEN & TOUBRO LIMITED,BUILDINGS & FACTORIES IC OLYMPIA GR,,CHENNAI,600043, , ,,,,,1000343,MG09,Distributor,,1,0,,,,
LALTA PRASAD RAM DAYAL,237 SADAR BAZAR ,,LUCKNOW,226602,dayallalta@gmail.com, ,,,,,1000344,MG08,Distributor,,2000000,5973,,,,
LAXMI ENTERPRISES,ADARSH COLONY RADHA ROAD ,,RAMPUR,244901,sunnyguptta@gmail.com, ,,,,,1000345,MG07,Distributor,,1500000,7736,,,,
NAIDU PIPES CENTRE,CHANDRAMPALEM  BESIDE DURGA THEATRE,,VISAKHAPATNAM,530040,naidupipes@gmail.com, ,,,,,1000418,MG01,Distributor,,2000000,-1267461,,,,
NAIDU PIPE CENTRE,PS NO:687/1 L T B ROAD LIC BUILDING,,VIZIANAGARAM,535002,naidupipes@gmail.com,9440540363,,,,,1000419,MG01,Distributor,,2000000,-2327693,,,,
NAKSHI TRADERS,C-4/5 SHREE PALACE NR. GUJARATI SCH,,TAPI,394690,nakshitrade@yahoo.in,9825123228,,,,,1000420,MG08,Distributor,,10000000,-4210624.21,,,,
NLC NALCO INDIA LIMITED,20A PARK STREET,,KOLKATA,700016, , ,,,,,1000421,MG04,Distributor,,1,0,,,,
NIRMALADEVI SANITATIONS,JAYASHREE COMPLEX OPP. KANNADA BHAV,,GULBARGA,585102,nirmaladevigroups@gmail.com,9945389230,,,,,1000422,MG03,Distributor,,1000000,0,,,,
NAVKAR TRADING COMPANY,MANGALDAS PARK ,,NAVAPUR,425418, ,9422791048,,,,,1000423,MG10,Distributor,,1,0,,,,
NEW BHAGWAN PIPE STORE,PATTER BAZAR ,,ALIGARH,202001, , ,,,,,1000424,MG07,Distributor,,1,-36781,,,,
NOBLE ENGINEERING PVT LTD,10  VENGAIVASAL MAIN ROAD  MADAMBAK,,CHENNAI,600073, ,9841970658,,,,,1000425,MG04,Distributor,,1,-46756,,,,
NTPC LTD.,MANAGER (MATERIALS)  SINGRAULI SUPE,,SONEBHADRA,231222, , ,,,,,1000426,MG04,Distributor,,1,0,,,,
NILAM ENTERPRISE,HILL GILL NR. SAHARA MARKET  SILVAS,,VAPI,396191,nidhinilam@yahoo.com,92278060649,,,,,1000427,MG08,Distributor,,8000000,-7587604,,,,
NAGESHWAR INDIA,2541/3 HALLADKERI  BEHIND SUBURB BU,,MYSORE,570001,nageshwar.india@yahoo.com, ,,,,,1000428,MG03,Distributor,,9000000,-1106242.23,,,,
NOCIL LTD,PLANT: PLOT NO.12-A-1  GIDC INDUSTR,,BHARUCH,392130, , ,,,,,1000429,MG04,Distributor,,1,0,,,,
NALCO WATER INDIA LTD,SRIKRIPA APARTMENTS  HOTEL SONNET ,,JAMSHEDPUR,831001, , ,,,,,1000430,MG04,Distributor,,1,0,,,,
NARAIN TRADING COMPANY,B-93  BIVHUTI KHAND  GOMTI NAGAR ,,LUCKNOW,226010,alok_naraintraders@yahoo.co.in,9839170168,,,,,1000431,MG07,Distributor,,5000000,-4451469,,,,
NARAYANI,DILEZAKPUR,,GORAKHPUR,273001, , ,,,,,1000432,MG07,Distributor,,1,0,,,,
NALCO WATER INDIA LIMITED.,PLOT NO. 6  VILLAGE PIRANGUT  TALUK,,PUNE,412108, , ,,,,,1000433,MG04,Distributor,,1,0,,,,
NATIONAL SANITATION.,TVH SVASTI KANNAGI NAGAR NEAR EASWA,,CHENNAI,600096,info@nationalsanitation.net, ,,,,,1000434,MG10,Distributor,,1,0,,,,
NAV DURGA ASSOCIATES,15 A COURT ROAD ,,DEHRADUN,248001, , ,,,,,1000437,MG07,Distributor,,500000,-50169,,,,
NITIN OMPRAKASH MUNDADA,MONDHA DIST BEED,,MAJALGAON,431131, , ,,,,,1000438,MG08,Distributor,,1,52,,,,
NAINI MARBLE IND.,KATORATAL ROAD ,,KASHIPUR,244713, ,9837311905,,,,,1000439,MG07,Distributor,,1,8972,,,,
NALCO WATER INDIA LTD.,C/O TOLL (INDIA) LOGISTICS PRIVATE,,CHENNAI,600066, , ,,,,,1000441,MG04,Distributor,,1,-105338.53,,,,
NMS TRADING COMPANY,690&694 CAPE ROAD  KOTTAR,,NAGARCOIL,629002,office@nmsgroups.com,99949921979,,,,,1000435,MG09,Distributor,,1000000,437,,,,
NATIONAL SALES CORPORATION,OLD NO:204 NEW NO:260 THAMBU CHETTY,,CHENNAI,600001,info@nationalsanitation.net, ,,,,,1000436,MG10,Distributor,,1,0,,,,
NAREN METAL AND PIPES,40/5071 KOVILVATTOM ROAD ,,ERNAKULAM,682035,narenmetal@gmail.com,9446075465,,,,,1000440,MG06,Distributor,,2000000,-1880380,,,,
PETRONET LNG LTD.,SURVEY NO.347 PETRONET LNG LTD  KER,,KOCHI,682508,sureshp@petronetlng.com, ,,,,,1000922,MG06,Distributor,,1,0,,,,
SRI REVANA SIDDESHWARA ELECTRICALS,BHAVANI MANDIR ROAD ZAHEERABAD  MED,,HYDERABAD,502220, , ,,,,,1000923,MG08,Distributor,,1,-243,,,,
SHREE AMBE PIPES,PLOT NO : 6  SURVEY NO : 121/122  O,,DHULE,424001,ambepipe@gmail.com,9822667725,,,,,1000924,MG10,Distributor,,1,23265,,,,
TAHA SALES AGENCY,NR HEAD POST OFFICE  L.N.T.ROAD,,BHILWARA,311001,MUSHTAK.GHA@GMAIL.COM,9413055850,,,,,1000925,MG08,Distributor,,1,0,,,,
CHANDU ELECTRICALS,H.NO.:20-52 NARAYANPET ROAD  KOSGI,,KOSGI,509339, , ,,,,,1000926,MG08,Distributor,,1,4633,,,,
SRI VENKATESWARA AGRI AGENCIES,MAKTHAL (V P M)  MAHABUBNAGAR (DIST,,HYDERABAD,509208, , ,,,,,1000927,MG08,Distributor,,1,0,,,,
NAGENDRA ELECTRICAL & ENGINEERING,H.NO.:9/12/8 OPP:LMB BANK  NARSAMPE,,NARSAMPET,506132, , ,,,,,1000928,MG08,Distributor,,1,978,,,,
TAMIL NADU NEWSPRINT AND PAPERS LIM,MONDIPATTI VILLAGE  MANAPPARAI TALU,,TIRUCHIRAPPALLI,621306, , ,,,,,1000929,MG04,Distributor,,1,0,,,,
PRAJAPITA BRAHMA KUMARIS ISHWARIYA,LIGHT HOUSE  ABU RAOD  BLOCK THALLA,,ABU ROAD,307510, , ,,,,,1000930,MG08,Distributor,,1,0,,,,
PRAJAPITA BRAHMA KUMARIS ISHWARIYA,PM PARK  ABU RAOD  BLOCK THALLA,,ABU ROAD,307510, , ,,,,,1000931,MG08,Distributor,,1,0,,,,
BHARAT OMAN REFINERIES LTD.,VILL AGASOD BINA PO. BORL RESIDENTI,,SAGAR,470124,info@borl.co.in, ,,,,,1000932,MG04,Distributor,,1,0,,,,
KIRAN SALES CORPORATION,AT-POST-KUKANA TAL.NEWASA DIST.AHME,,AHMEDNAGAR,414505,kiransaleskukana@gmail.com,9822007012,,,,,1000933,MG08,Distributor,,1,0,,,,
